animal_id,cage,lab_id,mark,diet,group,start_diet,dob,w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14
TOS-010304,ETOS-001017,13,Right Post,HFD,Cage_3,24.02.2021,20.01.2021,14,16.2,16.6,17.8,17.8,19.6,20,20.9,19.4,21.5,21.5,22.7,23,22.6,24.7
TOS-010305,ETOS-001017,14,Right Middle,HFD,Cage_3,24.02.2021,20.01.2021,16,18.1,18.8,20.6,21.6,21.8,20.5,21.7,22.6,23.6,22.9,23.4,25.1,27.3,29.8
TOS-010306,ETOS-001017,15,Right Ant,HFD,Cage_3,24.02.2021,20.01.2021,15,17.2,18,19.3,20.2,19.9,22.1,21.4,22.3,24.2,21.8,23.3,24.2,25.6,26.6
TOS-010307,ETOS-001017,16,Left Post,HFD,Cage_3,24.02.2021,20.01.2021,15,17.4,18.1,20.7,20.7,23.5,24.7,26.5,27.7,30.2,29,31.1,32.1,34.2,26.7
TOS-010308,ETOS-001017,17,Left Middle,HFD,Cage_3,24.02.2021,20.01.2021,15,16.3,16.9,18.4,19,19.5,20,20.5,20.9,22.8,22.5,21.7,22,23.9,25.2
TOS-010309,ETOS-001017,18,Left Ant,HFD,Cage_3,24.02.2021,20.01.2021,15,16.8,18.1,19.1,19.5,20.8,21.4,24.7,22.1,24.1,25.3,27.3,24.9,26.6,28.6
TOS-010310,ETOS-001018,19,Right Post,ND,Cage_4,24.02.2021,20.01.2021,13,15.2,15.1,16.7,17.5,18.4,18.7,18.4,19.1,19.4,19.6,20,20.2,20.3,21.7
TOS-010311,ETOS-001018,20,Right Middle,ND,Cage_4,24.02.2021,20.01.2021,14,16.1,15.8,17.3,17.9,19,19.5,19.5,22.5,20.3,20.5,21.1,20.5,21.3,22.1
TOS-010312,ETOS-001018,21,Right Ant,ND,Cage_4,24.02.2021,20.01.2021,18,18.6,18.2,20,20.2,21.4,21.8,22.1,20.9,22,22.5,23.5,23.6,23.6,25
TOS-010313,ETOS-001018,22,Left Post,ND,Cage_4,24.02.2021,20.01.2021,15,18.2,18.1,19.3,20.1,20.4,20.9,21.2,20.2,22,21.8,22.4,22.4,23.3,23.5
TOS-010314,ETOS-001018,23,Left Middle,ND,Cage_4,24.02.2021,20.01.2021,15,16.4,16.2,16.8,17.5,18.3,18.8,19.5,21.6,20.5,20.7,21.1,20.7,21.4,22.3
TOS-010315,ETOS-001018,24,Left Ant,ND,Cage_4,24.02.2021,20.01.2021,15,16.7,16.9,18.1,18.6,19.2,19.8,19.9,20.2,21,20.6,21.8,22,22.1,23
TOS-010367,ETOS-001036,25,Right Post,HFD,Cage_5,24.03.2021,17.02.2021,17.2,18.1,20,19.9,20.2,22.5,23.5,23.3,23.1,22.8,25.8,NA,NA,NA,NA
TOS-010368,ETOS-001036,26,Right Ant,HFD,Cage_5,24.03.2021,17.02.2021,15.7,17.8,18.7,20.1,20.9,23.7,24.8,23,26.1,29.3,29.4,32.9,34.6,35.4,36.2
TOS-010369,ETOS-001036,27,Left Post,HFD,Cage_5,24.03.2021,17.02.2021,17.1,19.2,19.1,20.6,20.8,23.6,25.4,26.1,27.9,30.2,29.9,32.1,33.7,34.8,35.9
TOS-010370,ETOS-001036,28,Left Ant,HFD,Cage_5,24.03.2021,17.02.2021,15.5,18.2,20.5,18.9,20,23.1,25.1,22.9,23.3,25.5,23.1,27.3,27.6,29.3,29.8
TOS-010371,ETOS-001046,29,Right Post,HFD,Cage_6,24.03.2021,17.02.2021,15.8,17.3,17,17.9,19.5,21.3,21.5,22.7,23.5,23.8,22.9,26.4,26.8,28.2,29.2
TOS-010372,ETOS-001046,30,Right Ant,HFD,Cage_6,24.03.2021,17.02.2021,15.9,17.6,18.5,18.6,20.3,22.2,24.3,24.3,25,27,31.3,30.7,33.2,34,34.3
TOS-010373,ETOS-001046,31,Left Post,HFD,Cage_6,24.03.2021,17.02.2021,17,18.8,20.4,21.3,21.5,24.2,24.9,25.7,28.4,30.6,32.6,32.1,33.9,33.5,34.6
TOS-010374,ETOS-001046,32,Left Ant,HFD,Cage_6,24.03.2021,17.02.2021,16.7,18.5,18.6,18.7,20.6,22.7,23.5,23.4,22.5,21.9,26,24.5,27.4,29.9,31.6
