lab_ID,Animal ID,Histo_ID,intervention_group,diet,group,DOB,Start Diet,Start Breeding,Number_pregnancy,Number_offspring,Number_offspring_alive,nonfasting_glycemia,fasting_glycemia,fat_mass,lean_mass,free_water,sacrifice_date,body_weight,liver_weight,Comment_sacrifice,MatureCorpusLutea_Ovary_1,MatureCorpusLutea_Ovary_2,MatureCL,MatureGraafianFoll_Ovary_1,MatureGraafianFoll_Ovary_2,MatureFoll,EndometrialThickness
13,TOS-010304,22TOS50,7,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1.5,8,4.5,6.9,5.8,17.639,21.016,-0.024,9/30/2021,42,1.44,,8,3,5.5,0,0,0,546
14,TOS-010305,22TOS51,6,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,0.5,2.5,0,8.9,6.8,17.511,22.787,0.486,9/16/2021,40.5,2.24,,4,3,3.5,0,0,0,NA
15,TOS-010306,22TOS52,7,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1.5,8,4.5,7.2,8.2,22.255,22.373,0,9/20/2021,53.5,2.57,In utero pregnancy (8x),4,1,2.5,5,0,2.5,NA
16,TOS-010307,NA,6,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,0.5,2.5,0,NA,NA,17.373,22.603,0.163,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
17,TOS-010308,22TOS53,8,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1.5,10,6,6.2,5.7,11.977,28.093,1.033,10/20/2021,NA,1.87,Severe dermatitis,NA,NA,NA,NA,NA,NA,279
18,TOS-010309,22TOS54,8,HFD,HFD,1/20/2021,2/24/2021,6/21/2021,1.5,10,6,10,8.3,15.628,19.479,0.211,9/20/2021,30.7,2.12,Same day birth of 8x,4,3,3.5,1,0,0.5,NA
19,TOS-010310,22TOS55,9,ND,ND,1/20/2021,2/24/2021,6/21/2021,1,7.5,7,6.6,7.9,2.286,21.622,0,10/20/2021,24.7,1,,1,2,1.5,1,0,0.5,450
20,TOS-010311,22TOS56,10,ND,ND,1/20/2021,2/24/2021,6/21/2021,2,15.5,12,8.5,7.3,4.159,20.859,0.195,9/20/2021,24.05,1.275,Left hip inflammation,4,3,3.5,0,0,0,375
21,TOS-010312,22TOS57,9,ND,ND,1/20/2021,2/24/2021,6/21/2021,1,7.5,7,7.4,7.4,6.815,22.85,0.202,9/17/2021,31.6,1.46,,1,5,3,0,1,0.5,197
22,TOS-010313,22TOS58,10,ND,ND,1/20/2021,2/24/2021,6/21/2021,2,15.5,12,NA,NA,NA,NA,NA,NA,NA,NA,,4,2,3,0,4,2,227
23,TOS-010314,22TOS59,11,ND,ND,1/20/2021,2/24/2021,6/21/2021,1,7,7,7.8,8.3,4.684,21.036,0,10/22/2021,26.8,1.2,,3,6,4.5,1,1,1,256
24,TOS-010315,NA,11,ND,ND,1/20/2021,2/24/2021,6/21/2021,1,7,7,7.9,6.8,4.13,20.067,0,10/22/2021,25.9,1.4,,,,,,,,
26,TOS-010368,NA,12,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,0,0,0,,,,,,,,,,,,,,,,
27,TOS-010369,NA,13,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,1.5,4.5,1.5,,,,,,,,,,,,,,,,
28,TOS-010370,NA,13,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,1.5,4.5,1.5,,,,,,,,,,,,,,,,
29,TOS-010371,NA,14,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,0.5,5,2,,,,,,,,,,,,,,,,
30,TOS-010372,NA,14,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,0.5,5,2,,,,,,,,,,,,,,,,
31,TOS-010373,NA,15,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,0.5,0,0,,,,,,,,,,,,,,,,
32,TOS-010374,NA,15,HFD,Fenofibrate,2/17/2021,3/24/2021,7/25/2021,0.5,0,0,,,,,,,,,,,,,,,,
